time,event,chamber,treatment,Sex,Density
958.0541666666667,1,165,Female/40x,Female,40x
958.0541666666667,1,168,Female/40x,Female,40x
958.0541666666667,1,174,Female/40x,Female,40x
958.0541666666667,1,180,Female/40x,Female,40x
958.0541666666667,1,180,Female/40x,Female,40x
958.0541666666667,1,187,Female/40x,Female,40x
958.0541666666667,1,187,Female/40x,Female,40x
241.93666666666667,1,27,Male/20x,Male,20x
241.93666666666667,1,60,Male/20x,Male,20x
241.93666666666667,1,61,Male/20x,Male,20x
241.93666666666667,1,65,Male/20x,Male,20x
241.93666666666667,1,92,Male/20x,Male,20x
241.93666666666667,1,106,Male/20x,Male,20x
241.93666666666667,1,167,Male/20x,Male,20x
241.93666666666667,1,179,Male/20x,Male,20x
241.93666666666667,1,189,Male/20x,Male,20x
319.91749999999996,1,76,Male/20x,Male,20x
456.9288888888889,1,153,Male/20x,Male,20x
456.9288888888889,1,167,Male/20x,Male,20x
504.23555555555555,1,43,Male/20x,Male,20x
577.2211111111111,1,169,Male/20x,Male,20x
577.2211111111111,0,175,Male/20x,Male,20x
665.7102777777777,1,60,Male/20x,Male,20x
745.8133333333333,1,26,Male/20x,Male,20x
745.8133333333333,1,70,Male/20x,Male,20x
745.8133333333333,1,100,Male/20x,Male,20x
745.8133333333333,1,121,Male/20x,Male,20x
745.8133333333333,1,153,Male/20x,Male,20x
745.8133333333333,1,178,Male/20x,Male,20x
791.7755555555556,1,1,Male/20x,Male,20x
791.7755555555556,1,58,Male/20x,Male,20x
791.7755555555556,1,58,Male/20x,Male,20x
791.7755555555556,1,65,Male/20x,Male,20x
791.7755555555556,1,66,Male/20x,Male,20x
791.7755555555556,1,147,Male/20x,Male,20x
791.7755555555556,1,198,Male/20x,Male,20x
840.3269444444444,1,5,Male/20x,Male,20x
840.3269444444444,1,5,Male/20x,Male,20x
840.3269444444444,1,26,Male/20x,Male,20x
840.3269444444444,1,26,Male/20x,Male,20x
840.3269444444444,1,58,Male/20x,Male,20x
840.3269444444444,1,66,Male/20x,Male,20x
840.3269444444444,1,69,Male/20x,Male,20x
840.3269444444444,1,88,Male/20x,Male,20x
840.3269444444444,1,97,Male/20x,Male,20x
