treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi
Female/20x,241.93666666666667,900,2,0,0.0022222222222222222,0.9977777777777778,0.9977777777777778,1.4809189943192646e-05,0.9977777777777778,0.0015696014889197845,0.994701358859495,1.0
Female/20x,392.16055555555556,898,2,0,0.0022271714922048997,0.9977728285077951,0.9955555555555555,3.442506991946858e-05,0.9955555555555555,0.0022172784514215946,0.9912096897907692,0.9999014213203419
Female/20x,456.9288888888889,896,1,0,0.0011160714285714285,0.9988839285714286,0.9944444444444445,2.360543793752679e-05,0.9944444444444445,0.002477608918566602,0.989588330964054,0.999300557924835
Female/20x,504.23555555555555,895,1,0,0.0011173184357541898,0.9988826815642458,0.9933333333333333,6.923331215701068e-06,0.9933333333333333,0.002712567914607489,0.9880167002207026,0.9986499664459639
Female/20x,665.7102777777777,894,1,0,0.0011185682326621924,0.9988814317673378,0.9922222222222221,8.87789405551565e-06,0.9922222222222221,0.0029282691039469568,0.9864828147784861,0.9979616296659581
Female/20x,791.7755555555556,893,3,0,0.0033594624860022394,0.9966405375139977,0.9888888888888887,6.931037508448615e-05,0.9888888888888887,0.0034940670859468894,0.9820405174004329,0.9957372603773446
Female/20x,840.3269444444444,890,2,0,0.0022471910112359553,0.9977528089887641,0.9866666666666665,3.0392592386442013e-05,0.9866666666666665,0.0038232556742411666,0.9791730855451538,0.9941602477881791
Female/20x,914.3488888888888,888,6,0,0.006756756756756757,0.9932432432432432,0.9799999999999998,0.00015512224979831395,0.9799999999999998,0.004666666666666666,0.9708533333333331,0.9891466666666664
Female/20x,958.0541666666667,882,2,880,0.0022675736961451248,0.9977324263038548,0.9777777777777775,5.194218353064996e-05,0.9777777777777775,0.004913518207933924,0.968147282090227,0.987408273465328
Female/40x,241.93666666666667,1900,4,0,0.002105263157894737,0.9978947368421053,0.9978947368421053,1.4028937575268904e-05,0.9978947368421053,0.0010515229619163036,0.9958337518367493,0.9999557218474613
Female/40x,392.16055555555556,1896,41,0,0.021624472573839662,0.9783755274261603,0.9763157894736841,0.00033752353943702906,0.9763157894736841,0.0034885729775987304,0.9694781864375906,0.9831533925097776
Female/40x,456.9288888888889,1855,3,0,0.0016172506738544475,0.9983827493261456,0.9747368421052631,3.4214194237478133e-05,0.9747368421052631,0.003600068036485921,0.9676807087537507,0.9817929754567756
Female/40x,504.23555555555555,1852,3,0,0.0016198704103671706,0.9983801295896328,0.9731578947368421,2.2212387801784236e-05,0.9731578947368421,0.0037078584149570935,0.9658904922435262,0.980425297230158
Female/40x,577.2211111111111,1849,3,0,0.0016224986479177934,0.9983775013520823,0.9715789473684211,3.263295754669777e-05,0.9715789473684211,0.003812258371904201,0.9641069209594889,0.9790509737773533
Female/40x,626.9811111111111,1846,3,0,0.0016251354279523294,0.9983748645720477,0.9700000000000001,1.3687003440742848e-05,0.9700000000000001,0.003913539251583433,0.9623294630668966,0.9776705369331036
Female/40x,745.8133333333333,1843,5,0,0.0027129679869777536,0.9972870320130223,0.9673684210526317,5.910621706379927e-05,0.9673684210526317,0.004076037743405778,0.9593793870755564,0.9753574550297069
Female/40x,791.7755555555556,1838,6,0,0.003264417845484222,0.9967355821545157,0.9642105263157895,6.734626636274594e-05,0.9642105263157895,0.0042617384183117795,0.9558575190158984,0.9725635336156806
Female/40x,840.3269444444444,1832,3,0,0.0016375545851528383,0.9983624454148472,0.9626315789473685,2.2140683937350684e-05,0.9626315789473685,0.004351165733737933,0.9541032941092421,0.9711598637854949
Female/40x,914.3488888888888,1829,20,0,0.010934937124111536,0.9890650628758885,0.9521052631578948,0.0002515726426085905,0.9521052631578948,0.004899024125429727,0.9425031758720526,0.961707350443737
